comp_idx,imf_idx,sn1a_idx,sy_idx,sn1ar_idx,sigma_2,t_1,t_2,infall_1,infall_2,sfe,delta_sfe,imf_upper,mgal,nb,ks,ensemble,wrmse,mae,mape,huber,cosine,log_cosh,fitness,age_meta_fitness,physics_penalty,loss,weight
3,1,1,3,0,4.163390876252572,0.0762491516843835,8.461373400907474,0.0041202559776981,9.40529040072832,5.908805575291211,0.1061631546572669,82.35642117146301,19255828271.74608,0.0,0.2530232881803033,0.2657387216979718,0.1987823762439643,0.1550330534037163,4707436.626721761,0.0197572165525984,0.1116753525350358,0.0193296358466346,4.060229104228351e-05,0.4622113850532812,0.0001527902700172,0.2657387216979718,0.0008822905453046939
3,1,1,3,0,4.163390876252572,0.0762491516843835,8.461373400907474,0.0041202559776981,9.40529040072832,5.908805575291211,0.1061631546572669,82.35642117146301,19255828271.74608,0.0,0.2530232881803033,0.2657387216979718,0.1987823762439643,0.1550330534037163,4707436.626721761,0.0197572165525984,0.1116753525350358,0.0193296358466346,4.060229104228351e-05,0.4622113850532812,0.0001527902700172,0.2657387216979718,0.0008822905453046939
3,1,0,3,0,4.320904407293136,0.077678615812188,2.6571237117554736,0.0277522348593196,0.78076799601755,6.93585373266652,0.5310170070570784,116.99159769181932,15410524928.425186,0.0007978325024965,0.1467024752992296,0.1172264994632931,0.1262727450094601,0.1121003404850477,3240150.0620312165,0.007972403066112,0.0432184457396976,0.0079355244492278,7.963543168397637e-05,0.4579648062522995,0.0006793296059216,0.1172264994632931,0.0008820425279682017
3,1,0,2,0,3.1864825908443777,0.0423935906530656,3.248540197389052,0.0045988239098643,5.936135395326788,5.099258145490805,0.3330733976790914,114.28063530337424,9672770323.89273,0.0,0.1381949323854376,0.2425847727560423,0.2636194452300166,0.1837395549461583,1732164.9158005835,0.0347476059516908,0.1972223478734348,0.0334003332569812,0.0011757753252723,0.3600389469764872,0.0048468636836279,0.2425847727560423,0.0008751060313442325
2,2,0,1,0,4.243658675806269,0.0808283165030522,6.456853988212478,0.0048285860347549,8.539067243243814,8.734509831806742,0.2939945916283248,104.5145582109312,16168617054.182505,0.0,0.1540450005702307,0.2146371190832743,0.2294390774330291,0.1504618413727022,395548.754682153,0.0263211451266597,0.1435612520375185,0.025384480708378,0.0012396657953405,0.4284496457388212,0.0057756356432441,0.2146371190832743,0.0008747034118470604
3,1,0,2,0,1.8567125525395043,0.0566415444973005,7.153103790921993,0.0038603523608589,1.4532595854631247,4.976976172674995,0.2539091730831467,123.978629028807,10853359217.73058,0.0,0.1612049888796142,0.1524574604753424,0.1576424568940127,0.1008472084347292,738474.2817020722,0.0124255721077903,0.0647966116504386,0.0122094961917441,0.0013158800770608,0.3534821944267246,0.0086311294505238,0.1524574604753424,0.0008742233734801207
1,1,1,3,1,0.8170227580665668,0.0077045573844443,5.242439872030064,0.0029803678515604,9.383640125098491,10.30239894372721,0.1400629250450263,109.20744507361346,10634081867.286297,0.0,0.3296295736632419,0.6042086968907393,0.3689012189670435,0.3138313012031551,8820353.504097456,0.0680440546776853,0.3627457100692687,0.0648096916979167,0.0013787946258237,0.4856516280132077,0.002281984077553,0.6042086968907393,0.0008738273024592771
2,2,0,1,0,4.0840203338289145,0.0980315981857672,9.288748021499966,0.0044484869705714,4.415699270860363,8.041944562162794,0.0849677599635417,106.54345850174772,17324275282.16204,0.0,0.1648573572434007,0.2326337126055166,0.2377012223819659,0.1563240367149849,277529.4375681984,0.0282509355609404,0.1576501880740298,0.0272221204200569,0.001379691147831,0.4207910862405935,0.0059307446559588,0.2326337126055166,0.0008738216598090716
2,2,0,1,0,4.0840203338289145,0.0980315981857672,9.288748021499966,0.0044484869705714,4.415699270860363,8.041944562162794,0.0849677599635417,106.54345850174772,17324275282.16204,0.0,0.1648573572434007,0.2326337126055166,0.2377012223819659,0.1563240367149849,277529.4375681984,0.0282509355609404,0.1576501880740298,0.0272221204200569,0.001379691147831,0.4207910862405935,0.0059307446559588,0.2326337126055166,0.0008738216598090716
3,1,0,2,0,0.163591596506923,0.0068282912245709,4.900472312884614,0.0038776755832054,0.5635242174335149,1.7689558348488688,0.6675113689982781,118.4985552614861,10066970074.828716,0.0,0.1850124106863422,0.2594715579386502,0.2449322341494403,0.1621311738982169,10239.803317004844,0.0299958996627181,0.1730780847717323,0.0290632270538337,0.0014056863262553,0.7131900049458562,0.0054174967669777,0.2594715579386502,0.0008736580637200758
