comp_idx,imf_idx,sn1a_idx,sy_idx,sn1ar_idx,sigma_2,t_1,t_2,infall_1,infall_2,sfe,delta_sfe,imf_upper,mgal,nb,ks,ensemble,wrmse,mae,mape,huber,cosine,log_cosh,fitness,age_meta_fitness,physics_penalty,loss,weight
4,1,1,3,1,3.7734972477092974,0.0250947604288882,2.9365188249002507,0.0927829193981529,2.446872286773308,19.541394387872685,0.3076515133198574,117.90969364081069,9483950273.07936,0.0007643011328295,0.1328588483951154,0.1292116943533087,0.1404652402181937,0.0888965731098418,2381.266634172894,0.0098652418547774,0.0536007131069881,0.0097147107277998,8.614456469671648e-05,1.464441804528617,0.0006666932519371,0.1292116943533087,0.000801636278761473
4,1,1,3,1,4.697342195555273,0.0367618091338911,3.49038262018105,0.0904801372883183,2.44444809879327,19.217773858109584,0.2749391666037336,123.50073486395536,12063344520.10411,0.0006492647096994,0.0570228141617884,0.0811202566595141,0.0905302987115786,0.0605429036654229,1957.9518941631293,0.0040978674924038,0.0222693734392532,0.0040726604400327,0.0001403683412314,1.73702378412893,0.0017303734851404,0.0811202566595141,0.0008013728958416045
4,1,1,3,1,4.697342195555273,0.0367618091338911,3.49038262018105,0.0904801372883183,2.44444809879327,19.217773858109584,0.2749391666037336,123.50073486395536,12063344520.10411,0.0006492647096994,0.0570228141617884,0.0811202566595141,0.0905302987115786,0.0605429036654229,1957.9518941631293,0.0040978674924038,0.0222693734392532,0.0040726604400327,0.0001403683412314,1.73702378412893,0.0017303734851404,0.0811202566595141,0.0008013728958416045
4,2,1,3,1,1.138838787153451,0.0114354367179828,4.868018510654415,0.0597124084670895,1.2935889294974072,13.142457339375966,0.2394013299875581,122.30532734618146,10758102875.630651,0.0006093338929616,0.1222654741601113,0.1634336653602057,0.1809374886103664,0.1148513091166253,9993.90138985865,0.0163691873923132,0.054101339275462,0.0160316762000233,0.0001970691423729,1.3070756602419804,0.0012058050704464,0.1634336653602057,0.0008010975737449457
4,2,1,3,1,1.138838787153451,0.0114354367179828,4.868018510654415,0.0597124084670895,1.2935889294974072,13.142457339375966,0.2394013299875581,122.30532734618146,10758102875.630651,0.0006093338929616,0.1222654741601113,0.1634336653602057,0.1809374886103664,0.1148513091166253,9993.90138985865,0.0163691873923132,0.054101339275462,0.0160316762000233,0.0001970691423729,1.3070756602419804,0.0012058050704464,0.1634336653602057,0.0008010975737449457
4,2,1,3,1,1.138838787153451,0.0114354367179828,4.868018510654415,0.0597124084670895,1.2935889294974072,13.142457339375966,0.2394013299875581,122.30532734618146,10758102875.630651,0.0006093338929616,0.1222654741601113,0.1634336653602057,0.1809374886103664,0.1148513091166253,9993.90138985865,0.0163691873923132,0.054101339275462,0.0160316762000233,0.0001970691423729,1.3070756602419804,0.0012058050704464,0.1634336653602057,0.0008010975737449457
4,2,1,3,1,1.138838787153451,0.0114354367179828,4.868018510654415,0.0597124084670895,1.2935889294974072,13.142457339375966,0.2394013299875581,122.30532734618146,10758102875.630651,0.0006093338929616,0.1222654741601113,0.1634336653602057,0.1809374886103664,0.1148513091166253,9993.90138985865,0.0163691873923132,0.054101339275462,0.0160316762000233,0.0001970691423729,1.3070756602419804,0.0012058050704464,0.1634336653602057,0.0008010975737449457
5,2,1,1,0,2.4706131053620126,0.0431999553309276,2.389888194290052,0.0222613429918437,8.799554961585322,1.0866343160081513,0.5185445801544968,85.83197470783321,11232331072.019064,0.001307631223818,0.2835785237758079,0.3133002181133619,0.2151539235374911,0.1371452754816452,149153.49036127105,0.0231456054067882,0.1195715731439375,0.022547653405291,0.0002927208898074,2.356415456485658,0.0009343143505297,0.3133002181133619,0.0008006333318888823
4,2,0,3,1,1.690396694854721,0.0050931472109704,2.1328916155411477,0.0710821542359846,0.9916266997965666,14.77507627414016,0.3873567818388582,126.30322648878328,10339959176.142138,0.0008551484827309,0.161498920804315,0.1504325319415491,0.1551569915093699,0.1035120278466612,19944.261059690696,0.0120368460071193,0.0651462909259865,0.0118871234737692,0.0004683298593899,1.15303456272189,0.0031132219430565,0.1504325319415491,0.0007997817211616063
4,2,0,3,1,1.6889703842251844,0.0050975242298634,2.1302378044062023,0.0710731260119266,0.9812150290346944,14.74830514592591,0.3872530633267538,126.31643477775296,10317854484.28176,0.0008549130703015,0.1601876195571903,0.1482471294112774,0.1537005282995475,0.1026990621145943,19813.540952295065,0.01181192619978,0.0639420384385149,0.0116669083238538,0.0005445911121013,1.153226099734712,0.0036735356311047,0.1482471294112774,0.0007994121765336744
4,2,0,3,1,1.6890975737513212,0.0051124993026506,2.130342152267537,0.0710760962284474,0.980737974159496,14.74857899674702,0.3870247246326994,126.3105500457084,10315748193.503304,0.0008549032981704,0.1589847952202816,0.1465611524257319,0.1526926752183634,0.1020668003544094,19873.971177480453,0.0116575265326703,0.0631141861727941,0.0115157371457209,0.0005859650163477,1.153494389231362,0.0039980923092473,0.1465611524257319,0.0007992117594878693
4,2,0,3,1,1.6890975737513212,0.0051124993026506,2.130342152267537,0.0710760962284474,0.980737974159496,14.74857899674702,0.3870247246326994,126.3105500457084,10315748193.503304,0.0008549032981704,0.1589847952202816,0.1465611524257319,0.1526926752183634,0.1020668003544094,19873.971177480453,0.0116575265326703,0.0631141861727941,0.0115157371457209,0.0005859650163477,1.153494389231362,0.0039980923092473,0.1465611524257319,0.0007992117594878693
4,2,0,3,1,1.6890975737513212,0.0051124993026506,2.130342152267537,0.0710760962284474,0.980737974159496,14.74857899674702,0.3870247246326994,126.3105500457084,10315748193.503304,0.0008549032981704,0.1589847952202816,0.1465611524257319,0.1526926752183634,0.1020668003544094,19873.971177480453,0.0116575265326703,0.0631141861727941,0.0115157371457209,0.0005859650163477,1.153494389231362,0.0039980923092473,0.1465611524257319,0.0007992117594878693
4,1,1,3,1,1.072713175240217,0.0148947477130883,2.813586130941327,0.0771245157188775,0.7639508158325679,15.76732126371474,0.3484671983867422,119.9922149575185,13702178263.274078,0.0008313173952336,0.0304827471737952,0.0714087364497291,0.0810211068382923,0.055743878387761,3239.362473593012,0.0032822098766509,0.0170509556931663,0.0032697471804535,0.0006505776998724,1.3323702320808275,0.0091106177229518,0.0714087364497291,0.0007988988732535836
4,2,0,3,1,2.121995586170629,0.0085678271727658,3.20787988667803,0.0538252922157928,1.4646763419538038,13.664444198058415,0.0259433133483845,121.1569845968704,10172820703.311815,0.0006126069614727,0.1729375757548591,0.1777860960020359,0.1760161620342366,0.1099354243133524,7246.201830863745,0.0154908446486313,0.0761971530535217,0.0151638517846936,0.0007259988553281,1.2694239793302908,0.0040835524917528,0.1777860960020359,0.0007985338020481878
4,1,1,3,1,2.62406709547146,0.0316759985939044,1.9084086526843929,0.0788892809024099,0.9891655907689662,17.30401253962043,0.0449879307726426,129.64190211423065,13395533853.110716,0.0006047149722751,0.056832213584295,0.0704039960433833,0.0783427719887428,0.0496068754651488,1210.4423430273166,0.00306879496144,0.0163517885133039,0.003053418308944,0.000764634739442,1.67738875311172,0.0108606724392589,0.0704039960433833,0.0007983468521837725
4,1,1,3,1,1.8656950724706671,0.0262690777519577,4.876013452025804,0.0339939712251528,1.014183911438942,5.576791451746418,0.402423513994622,127.64077146200664,17680122088.476017,0.0005505312842911,0.0447435886512675,0.1004323031855938,0.1138819824722261,0.0782908889033846,291136.3191260036,0.0064845529659022,0.0214242200668625,0.006433244609416,0.0008583106665721,2.274084040894977,0.0085461613380112,0.1004323031855938,0.0007978937583140927
4,1,1,3,1,1.8656950724706671,0.0262690777519577,4.876013452025804,0.0339939712251528,1.014183911438942,5.576791451746418,0.402423513994622,127.64077146200664,17680122088.476017,0.0005505312842911,0.0447435886512675,0.1004323031855938,0.1138819824722261,0.0782908889033846,291136.3191260036,0.0064845529659022,0.0214242200668625,0.006433244609416,0.0008583106665721,2.274084040894977,0.0085461613380112,0.1004323031855938,0.0007978937583140927
4,1,1,3,1,2.620752960397453,0.0317133998439055,1.850794057314041,0.0788907335649183,1.0138198083718946,17.224046064681552,0.0450188571058328,129.69320408422593,13390773736.914097,0.0006031501570321,0.1294014784175784,0.1127569089845641,0.1221816415183383,0.0780142068322098,1790.274729461914,0.0074641767620578,0.041184618699894,0.0073818996079701,0.0009040618563028,1.6779752372154104,0.0080177956671963,0.1127569089845641,0.0007976725613857398
4,1,1,3,1,2.620752960397453,0.0317133998439055,1.850794057314041,0.0788907335649183,1.0138198083718946,17.224046064681552,0.0450188571058328,129.69320408422593,13390773736.914097,0.0006031501570321,0.1294014784175784,0.1127569089845641,0.1221816415183383,0.0780142068322098,1790.274729461914,0.0074641767620578,0.041184618699894,0.0073818996079701,0.0009040618563028,1.6779752372154104,0.0080177956671963,0.1127569089845641,0.0007976725613857398
4,1,1,3,1,2.620752960397453,0.0317133998439055,1.850794057314041,0.0788907335649183,1.0138198083718946,17.224046064681552,0.0450188571058328,129.69320408422593,13390773736.914097,0.0006031501570321,0.1294014784175784,0.1127569089845641,0.1221816415183383,0.0780142068322098,1790.274729461914,0.0074641767620578,0.041184618699894,0.0073818996079701,0.0009040618563028,1.6779752372154104,0.0080177956671963,0.1127569089845641,0.0007976725613857398
4,1,1,3,1,2.611139687163838,0.0316325588175317,1.850136444721612,0.079004918174261,1.017295464845938,17.22680516889776,0.0452194213091005,129.70787938103797,13405651373.26452,0.0006031399594943,0.1348494412137516,0.1157601694964753,0.1252460607134306,0.0794987978813968,1772.1019443051614,0.0078432878621161,0.0433276287253185,0.0077526049325177,0.0009434912280504,1.6755097566552544,0.0081503960486099,0.1157601694964753,0.0007974819782529649
4,1,1,3,1,2.976034356966024,0.0224269693431614,2.1464786678615275,0.0928647664833871,1.4584502828939143,16.675644084106835,0.3205039136071105,114.7059922625238,13226747836.626757,0.0006426455291581,0.1520082053985992,0.1278692360187391,0.1366969511882476,0.0829249605047395,1955.1270528780851,0.009343028232081,0.05180600471304,0.0092124013441623,0.0009750075017268,1.4871501960362326,0.0076250357950363,0.1278692360187391,0.0007973296760782592
4,1,1,3,1,2.976034356966024,0.0224269693431614,2.1464786678615275,0.0928647664833871,1.4584502828939143,16.675644084106835,0.3205039136071105,114.7059922625238,13226747836.626757,0.0006426455291581,0.1520082053985992,0.1278692360187391,0.1366969511882476,0.0829249605047395,1955.1270528780851,0.009343028232081,0.05180600471304,0.0092124013441623,0.0009750075017268,1.4871501960362326,0.0076250357950363,0.1278692360187391,0.0007973296760782592
4,1,1,3,1,2.1391155751633923,0.014647784272217,0.5642389505123034,0.0880763013090993,0.1179009106646911,15.611215383900834,0.3733972302487647,118.53314882095312,14401622140.703648,0.0005152082743239,0.0204659747698126,0.0611670464672868,0.0701180314570149,0.0434886145218176,1753.4675598938115,0.0024582691677034,0.0084101506389665,0.0024494546017032,0.0011413503821551,1.3486935834779543,0.0186595634099414,0.0611670464672868,0.0007965263070216145
4,2,1,3,1,2.129077084049416,0.0109063558193426,3.294728229641584,0.0520989928036017,1.3431922707503907,13.617605275137729,0.0262036531756474,121.55717871716698,10549838037.925432,0.0006069978116377,0.1613440150416744,0.1624743963487259,0.1686935133059255,0.1134853402126218,5748.096548600781,0.0142287507157482,0.0650767107306325,0.0140159019127655,0.0014226675411491,1.3416613146652343,0.0087562568202783,0.1624743963487259,0.0007951695001572445
