generation,evaluation,comp_idx,imf_idx,sn1a_idx,sy_idx,sn1ar_idx,sigma_2,t_1,t_2,infall_1,infall_2,sfe,delta_sfe,imf_upper,mgal,nb,ks,ensemble,wrmse,mae,mape,huber,cosine,log_cosh,fitness,age_meta_fitness,physics_penalty,loss
0,0,0,0,0,0,1,9.463569717489722,0.02847999882609246,5.192774581878585,0.09492527877143338,7.6496139797117495,12.603550596186714,1.7033524257720078,120.67546511827321,13845046267.609745,0.0008799083063974281,0.5943641741906933,1.1315338409933307,0.4128931411599682,0.28398832973740423,314591.4744800933,0.08524037300847272,0.6306685601047235,0.07930386715418494,1.1315338409933307,0.9549411294155856,1.0,1.1315338409933307
0,1,1,0,0,0,1,1.4729435581208978,0.08279134876936407,0.5898228095309828,0.07034028010836407,7.635869065249544,1.21990828666594,1.3694321542443753,64.81663673614597,12278874746.919476,0.0005881903037958619,0.3881241135619729,0.47354110283082307,0.2569887232524998,0.1538506176875439,241263.25121016402,0.033021601939474954,0.19180327745114067,0.031508629088709134,0.47354110283082307,1.2965379972644773,1.0,0.47354110283082307
0,2,4,1,0,0,1,0.9073624729512118,0.020084386099204092,2.670331235751584,0.038864070334655595,5.3033398907104825,33.47499985305224,0.6909205578406297,69.46506869582518,18368994812.633198,0.0007498547051464246,0.21132591950127305,0.32056938459986123,0.27194232035747734,0.1988595783965139,3571633.8642022973,0.03697631280070442,0.21651510952257536,0.035626132641144184,0.32056938459986123,0.8608511959609321,1.0,0.32056938459986123
0,3,0,1,0,0,1,0.7001279264194029,0.07906100076357335,5.337404212256885,0.00369167109451932,7.278316292120516,0.7300759721070864,0.333859035574675,102.6115355567828,9895769509.545742,0.0014797109012703123,0.6962050291021818,1.3429925910992295,0.4264222725116525,0.3034112181095016,114937.01473083219,0.090917977247001,0.6671919207368557,0.08455084028819973,1.3429925910992295,0.7420146829087155,1.0,1.3429925910992295
0,4,0,2,1,0,2,5.633400261180644,0.0311016939906516,2.079472698923521,0.00719443465989577,5.807337428986097,0.11013525706177212,0.7495515007179043,67.59628220025753,10088946824.0329,0.0008732390812722267,0.49746064285303926,0.8204493466107459,0.35467159389462477,0.24594303593240124,74828.83166732421,0.06289596975787681,0.41915251942548426,0.05964161954786445,0.8204493466107459,0.6405742151701437,1.0,0.8204493466107459
0,5,1,1,1,0,1,6.917064151424817,0.022544204746049595,6.556836468438243,0.039278969080987096,0.4039134293185769,1.0496682656815928,1.231408631692994,106.88741312602951,18717437593.517265,0.0009207207147166414,0.3602788315996389,0.4525837940541032,0.2601027212796789,0.16345078249653114,1761848.1604391527,0.033826712808547155,0.20073326088904053,0.03227898828061007,0.4525837940541032,1.0368558429694603,1.0,0.4525837940541032
0,6,3,0,0,0,2,1.9797668415766514,0.043412637528160436,1.2987965051765265,0.029607927694699176,3.308689486794886,24.630651635967688,1.181523341785954,127.20848358231014,16287061239.36249,0.001088279845226014,0.34046705832300633,0.48561549987678954,0.2894662486676703,0.2243966732717054,1420322.036298635,0.04189535455886676,0.26021861798334434,0.04059537515544355,0.48561549987678954,1.001880027947123,1.0,0.48561549987678954
0,7,0,1,0,0,2,6.791043398099048,0.019055977756156202,3.8508465064386095,0.07261720436450474,1.0984680921205545,0.29502785840658,1.2801563248553547,74.79193101690318,16046850786.75632,0.0005924521541332163,0.4337302437768815,0.743634547384662,0.35895970339306416,0.25584997700807877,1282543.1887679943,0.0644260343300183,0.44068874996723495,0.0609329452540308,0.743634547384662,0.9090445592914019,1.0,0.743634547384662
0,8,3,0,1,0,1,5.740670690647744,0.055224424352195045,3.1607336828107138,0.0818724981723182,0.8043398045044641,4.29574478970255,1.525309823477038,105.91072857564691,10186103936.466457,0.0014056913278871785,0.13656666909119541,0.18110462294458105,0.19678449088710262,0.13159769761665022,21779.632725860793,0.019362067926848088,0.06060955499692544,0.018980678909543785,0.18110462294458105,1.6401386399028468,1.0,0.18110462294458105
0,9,5,2,0,0,0,9.522494894888359,0.04118146290201701,9.834889763626869,0.06043843466238338,8.823384816687781,0.5681629543092184,1.3431874578625909,124.82000152396718,12244180662.242334,0.0006472743628266285,0.25118990134870745,0.2301042006763369,0.17629233418334125,0.11070018380888372,180826.49297708232,0.015539493545905435,0.08726365977990391,0.015202482867508168,0.2301042006763369,1.8824227273357,1.0,0.2301042006763369
0,10,2,0,1,0,0,8.987404406310796,0.019024989341724235,3.1014907625106503,0.015887572201250012,5.986732161464903,91.73492150087681,1.687536474591394,76.26892966132635,9904212138.558542,0.000680018017407716,0.3121985603561115,0.3692321014133806,0.23811332173173727,0.20250220616949532,6586987.252587329,0.028348976993060913,0.16442480525510428,0.027871939303153605,0.3692321014133806,0.39777502326528313,1.0,0.3692321014133806
