comp_idx,imf_idx,sn1a_idx,sy_idx,sn1ar_idx,sigma_2,t_1,t_2,infall_1,infall_2,sfe,delta_sfe,imf_upper,mgal,nb,ks,ensemble,wrmse,mae,mape,huber,cosine,log_cosh,fitness,age_meta_fitness,physics_penalty,loss
3,2,0,0,1,0.5451762109949674,0.021526909596807586,1.1855327102226685,0.03407347915995873,1.6793853113100488,1.9297253178874638,0.5785468341890009,97.67014263058529,15126650749.046978,0.0008119102355205345,0.07010440335397769,0.09977595457444613,0.11108341156712997,0.08836864855400572,1381072.6082253924,0.006169762162696192,0.03082692933103892,0.006134981586859724,0.09977595457444613,0.34380690268277936,1.0,0.09977595457444613
3,2,1,0,2,0.4587043002235015,0.016818886792894474,7.694762864031423,0.01701764916828487,9.11796957010677,2.9045881802873823,0.7929603119668986,118.74740373598709,18329253602.7167,0.0,0.1106963088760724,0.11338493360001066,0.1239448910947724,0.08824663785547948,409124.85779644764,0.007681168014247495,0.042258046498762636,0.007618273426365142,0.11338493360001066,0.3411463009924277,1.0,0.11338493360001066
3,2,0,0,0,2.029443109915398,0.01995817666770034,7.759325248022254,0.033944719208514135,3.533058045589867,10.63325154702403,0.01070057684995432,81.23987441600305,10707758587.470602,0.0010637760078669079,0.08703213687149408,0.11486694640566994,0.12694742195695272,0.08552013423467064,313393.8012961016,0.008057823970758299,0.04414279400295029,0.007974225710963026,1.0,0.5552195518200257,32.62197882126752,0.11486694640566994
3,2,0,0,1,1.53540359525794,0.016945311673683815,8.251064538330613,0.012678063982674046,1.2697422584539222,5.790248251854715,0.41949669744160323,78.86666477060402,15636836661.576004,0.0,0.09883188783579017,0.11594301505691981,0.12751987116579178,0.09237532181650686,1064770.5164355722,0.008130658771070068,0.04405994471307606,0.00805551247028706,0.3972088543943062,0.3289546604732196,3.4258972323542283,0.11594301505691981
3,2,1,0,2,0.6598565159200874,0.012232807245315527,5.0422330693519655,0.014220531286698028,9.97202568705358,1.8852877992618278,0.23054938044299977,100.89487293195576,19284773727.25431,0.0,0.0956657999183807,0.11825201146273669,0.13023266011081028,0.09428006824207125,818748.2824589751,0.008480272879768918,0.04693893457280951,0.008403255999791592,1.0,0.7779289923719336,21.28584969315459,0.11825201146273669
3,1,0,0,1,2.275606151231819,0.07081212116307078,7.042165427113931,0.00179761260745434,8.664774574391748,9.1132533536521,0.7444156838414053,115.9035582655489,18592553293.2616,0.0,0.08326986804692343,0.12245539602388159,0.13562688093558567,0.09931397027022952,1848148.575689454,0.009197325416157765,0.050983751109593856,0.009091897940507854,0.014182938277176146,0.3034323905220334,0.11582126012977126,0.12245539602388159
3,2,1,0,0,0.5199763175710789,0.015411736042538243,5.619294320827333,0.02181514319114321,8.419770778231346,2.0340695328584673,0.454430419820176,127.60049994761036,15274670228.031796,0.001096017009308401,0.11735531943599009,0.12288670850718235,0.1345835791972036,0.08808155946177104,236678.69158913664,0.009056369894764986,0.04340163446043099,0.008952617511502949,0.36522232218667283,0.748750809103062,2.9720246121274108,0.12288670850718235
3,2,0,0,1,4.946587102767759,0.0767885859095417,3.1471895870461175,0.021470055175046576,1.0917561886183995,3.9587374238051303,0.6850915533137724,127.02047801657602,17030907584.027548,0.0007418835795605968,0.14577031213763753,0.12311770987521012,0.13292207452095114,0.11222758213830682,3289840.827653683,0.008834138947476646,0.048074479562919104,0.008778845972652568,0.12311770987521012,0.4169336706001683,1.0,0.12311770987521012
3,2,1,0,0,3.8799076535993025,0.09873392689901273,3.042969531603461,0.0017177050490392552,1.66807977625579,9.178493089871838,0.7872702175911179,116.23851465903088,14837961162.475634,0.0,0.06821794759282937,0.12412608657103222,0.13833068600043932,0.10130258406057725,1526121.0149581307,0.00956768934467607,0.05311443247567049,0.009447041008221918,0.2861099003137565,0.2922972958416687,2.304994125066753,0.12412608657103222
4,1,1,0,1,4.9148203906643495,0.09790929376036173,9.165467619784629,0.0038880748204641784,0.7513305549300732,17.211957139654267,0.340089063627826,66.75711296204321,15632267645.292242,0.0,0.11151511297424438,0.12474504302622039,0.1366085341079785,0.09949850908461659,557199.0824589453,0.009330945795565362,0.0517097219189635,0.009249996185025517,1.0,0.31696184156074003,12.156907342317554,0.12474504302622039
3,2,1,0,0,0.6280890519074018,0.01396073717659629,3.621968745523492,0.016990552423139047,7.84047834688315,1.7666189533709848,0.6798029498062869,118.13460946991437,16729704793.789927,0.0,0.08454789617579778,0.12499405628850305,0.13855092863023322,0.0926053375548597,603563.3649665051,0.009598179912149988,0.050369262968148476,0.009485496374829407,0.12499405628850305,0.7487291279473044,1.0,0.12499405628850305
3,2,0,0,1,3.9344973379379446,0.0661351408491555,8.679374973362394,0.05764084133373207,1.2510093959077646,2.3260179129190464,0.4858556721937738,115.59552823643078,15081963309.423334,0.0010322475884914852,0.14515050015343506,0.12637581060229225,0.13671937172944304,0.11353596482148032,3526831.0384038747,0.009346093303046815,0.04879029918883171,0.009278214141043965,0.12637581060229225,0.4719692744884011,1.0,0.12637581060229225
3,1,0,0,1,3.184987372722361,0.03613001056017642,9.053439109316342,0.0019961466226166326,8.087989629843289,7.254614478470619,0.29187151743897927,72.4043612469699,10732179950.67407,0.0,0.09494288813789523,0.12658013212747732,0.13960636499318085,0.11245251123122389,2227477.1993415006,0.009744968573304617,0.05360658095427229,0.009648688391993102,0.4018288124351979,0.3022193374219136,3.1745014456970306,0.12658013212747732
3,2,1,0,0,3.87480540000032,0.0987344419460435,3.049161412076518,0.0017476961833113008,1.666047495788558,9.112934661759386,0.7872724383561707,116.23955487788776,14838587142.688732,0.0,0.07525942215635839,0.1289378104942824,0.14330187620076754,0.10501149567518207,1574477.1994062322,0.010267713861330052,0.05709717845491136,0.010127234594165056,0.1289378104942824,0.29244863398024507,1.0,0.1289378104942824
3,2,1,0,0,2.4372150207181473,0.04619492554714044,6.907541062562248,0.001691283032606594,6.648916446609686,7.4688372440331605,0.7007076328451944,107.56116955308036,18094344720.834633,0.0,0.10274933221643165,0.13079098423808178,0.14389624552490018,0.11517841316838191,2457583.834562688,0.01035306473808118,0.0564811138838196,0.01025244759707559,0.6945025344252538,0.3113348949103629,5.310018411980409,0.13079098423808178
3,2,1,0,0,2.4372150207181473,0.04619492554714044,6.907541062562248,0.001691283032606594,6.648916446609686,7.4688372440331605,0.7007076328451944,107.56116955308036,18094344720.834633,0.0,0.10274933221643165,0.13079098423808178,0.14389624552490018,0.11517841316838191,2457583.834562688,0.01035306473808118,0.0564811138838196,0.01025244759707559,0.13079098423808178,0.3113348949103629,1.0,0.13079098423808178
3,2,1,0,0,2.4372150207181473,0.04619492554714044,6.907541062562248,0.001691283032606594,6.648916446609686,7.4688372440331605,0.7007076328451944,107.56116955308036,18094344720.834633,0.0,0.10274933221643165,0.13079098423808178,0.14389624552490018,0.11517841316838191,2457583.834562688,0.01035306473808118,0.0564811138838196,0.01025244759707559,0.13079098423808178,0.3113348949103629,1.0,0.13079098423808178
3,2,0,0,1,3.54822737160271,0.0979146675666595,5.136867035697987,0.0017998203513858984,2.3540375102021827,6.740761207773283,0.8472301105437019,123.11216518811334,19866958923.27967,0.0,0.12735364442728508,0.13097158519156446,0.14267777726055855,0.11716848797615063,2929691.7462828965,0.010178474062006778,0.056377371912501806,0.010082166919760766,0.3621054519808674,0.30047841963121324,2.764763451944458,0.13097158519156446
3,1,0,0,2,4.8483959864786375,0.052631489544210285,9.984020621902136,0.06321440289165826,0.9939651970513551,6.702538792563523,0.16576190615316044,97.71394007270925,13646047849.40542,0.001152966336187379,0.15176748283388347,0.13100513093538488,0.14032442003947085,0.11394663694802637,2999210.613219019,0.009845471429706923,0.054580621790793926,0.009756727684986755,0.7501659056554739,0.4881544773473309,5.726233013159424,0.13100513093538488
3,2,1,0,1,2.931115795463888,0.0969142905315587,3.9400526237161255,0.002257895164098839,2.5857539858783825,6.830714591073539,0.8209098754354833,118.25973488856374,19727180849.92213,0.0,0.13015155629326947,0.13186652424086293,0.14352047789478042,0.1190553850309703,3031100.100945269,0.010299063787573079,0.05703174052514892,0.010198141156283452,0.13186652424086293,0.3179616593699252,1.0,0.13186652424086293
3,1,0,0,1,3.259127998417003,0.03653631424888435,9.208560938555202,0.0018475225799857112,8.186362328935557,7.361395353013815,0.3026954373887706,71.70716288047984,10780860595.513092,0.0,0.10020136583142147,0.1338264994833888,0.147353299174086,0.11102919838023367,2112408.279925406,0.010856497388743844,0.06046604048814874,0.010710564182453258,0.025727721276540175,0.3067384680647385,0.19224683732935588,0.1338264994833888
3,1,0,0,1,3.259127998417003,0.03653631424888435,9.208560938555202,0.0018475225799857112,8.186362328935557,7.361395353013815,0.3026954373887706,71.70716288047984,10780860595.513092,0.0,0.10020136583142147,0.1338264994833888,0.147353299174086,0.11102919838023367,2112408.279925406,0.010856497388743844,0.06046604048814874,0.010710564182453258,0.025727721276540175,0.3067384680647385,0.19224683732935588,0.1338264994833888
3,1,0,0,1,3.259127998417003,0.03653631424888435,9.208560938555202,0.0018475225799857112,8.186362328935557,7.361395353013815,0.3026954373887706,71.70716288047984,10780860595.513092,0.0,0.10020136583142147,0.1338264994833888,0.147353299174086,0.11102919838023367,2112408.279925406,0.010856497388743844,0.06046604048814874,0.010710564182453258,0.1338264994833888,0.3067384680647385,1.0,0.1338264994833888
3,1,1,0,1,3.1203329960915864,0.09955760235158395,0.5713433007563872,0.02618260246846026,0.35272172716583133,1.351686599219331,0.6518825346048118,123.71912600781617,9191988116.53656,0.0006985597029852689,0.1650922263395832,0.1344212603822942,0.13596470651583872,0.11224489617792975,3893187.6137143816,0.00924320070896908,0.04963238941716441,0.00918507352269918,0.026696208449100065,0.2577436073524289,0.19860108715820712,0.1344212603822942
3,1,1,0,1,2.2097593116523497,0.07561552466270073,2.982463467891825,0.04598864562212102,1.1072956259007753,3.665841614719489,0.24686112888632555,118.64361754682773,11166199684.272873,0.0009963266320323259,0.14545735655065034,0.1348356606879344,0.14595640369470464,0.11985688164886354,3186054.7718946086,0.010651635889745794,0.05934535850831346,0.010553524485606747,0.4520242018443785,0.42431503314569513,3.3524084024815206,0.1348356606879344
3,1,1,0,1,3.5081604171826823,0.07993348876973506,4.00682414626833,0.018937139079247354,0.7335084401090629,4.057265869457257,0.15871950079895886,95.55239908062823,11831721236.219152,0.0007178476404839403,0.1561159663359047,0.1348385514129163,0.14305246833604787,0.10942121155410091,4517994.918778516,0.010232004348517988,0.034133077024421254,0.01015175329301561,0.23533035492563656,0.44322369788180543,1.7452750156369154,0.1348385514129163
