&Isotopes  &Z=0.0
&H-1       &5.9687e-01
&H-2       &1.1584e-05
&He-3      &5.6408e-05
&He-4      &3.3981e-01
&Li-6      &1.6928e-11
&Li-7      &2.4049e-10
&Be-9      &3.2698e-10
&B-10      &2.0295e-09
&B-11      &9.0315e-09
&C-12      &1.0831e-02
&C-13      &1.3142e-04
&N-14      &3.3489e-03
&N-15      &1.3190e-05
&O-16      &3.0434e-02
&O-17      &1.2058e-05
&O-18      &6.8653e-05
&F-19      &1.7744e-06
&Ne-20     &5.7490e-03
&Ne-21     &1.4467e-05
&Ne-22     &4.6485e-04
&Na-23     &1.2649e-04
&Mg-24     &1.8537e-03
&Mg-25     &2.4454e-04
&Mg-26     &2.7980e-04
&Al-27     &2.0495e-04
&Si-28     &2.3568e-03
&Si-29     &1.2393e-04
&Si-30     &8.4528e-05
&P-31      &2.2471e-05
&S-32      &1.2684e-03
&S-33      &1.0325e-05
&S-34      &5.9767e-05
&S-36      &2.5529e-07
&Cl-35     &2.1570e-05
&Cl-37     &7.2922e-06
&Ar-36     &2.5937e-04
&Ar-38     &4.9774e-05
&Ar-40     &8.3800e-08
&K-39      &1.2333e-05
&K-40      &1.5827e-09
&K-41      &9.3572e-07
&Ca-40     &2.2847e-04
&Ca-42     &1.6011e-06
&Ca-43     &3.4216e-07
&Ca-44     &5.4075e-06
&Ca-46     &1.0840e-08
&Ca-48     &5.2873e-07
&Sc-45     &1.7121e-07
&Ti-46     &1.0220e-06
&Ti-47     &9.4141e-07
&Ti-48     &9.5311e-06
&Ti-49     &7.1373e-07
&Ti-50     &6.9823e-07
&V-50      &3.2097e-09
&V-51      &1.3086e-06
&Cr-50     &2.6136e-06
&Cr-52     &5.2431e-05
&Cr-53     &6.0589e-06
&Cr-54     &1.5362e-06
&Mn-55     &3.4722e-05
&Fe-54     &2.5671e-04
&Fe-56     &4.1805e-03
&Fe-57     &9.8252e-05
&Fe-58     &1.3304e-05
&Co-59     &1.2621e-05
&Ni-58     &1.8060e-04
&Ni-60     &7.1973e-05
&Ni-61     &3.1813e-06
&Ni-62     &1.0306e-05
&Ni-64     &2.7094e-06
&Cu-63     &2.0871e-06
&Cu-65     &9.5975e-07
&Zn-64     &3.5765e-06
&Zn-66     &2.1156e-06
&Zn-67     &3.1560e-07
&Zn-68     &1.4648e-06
&Zn-70     &4.9869e-08
&Ga-69     &1.4392e-07
&Ga-71     &9.8284e-08
&Ge-70     &1.6308e-07
&Ge-72     &2.1851e-07
&Ge-73     &6.1823e-08
&Ge-74     &2.9181e-07
&Ge-76     &6.2076e-08
&As-75     &4.5221e-08
&Se-74     &3.7884e-09
&Se-76     &4.0983e-08
&Se-77     &3.3836e-08
&Se-78     &1.0676e-07
&Se-80     &2.2851e-07
&Se-82     &4.1236e-08
&Br-79     &4.3924e-08
&Br-81     &4.3829e-08
&Kr-78     &1.2333e-09
&Kr-80     &8.1429e-09
&Kr-82     &4.1742e-08
&Kr-83     &4.1869e-08
&Kr-84     &2.0877e-07
&Kr-86     &6.4637e-08
&Rb-85     &4.0540e-08
&Rb-87     &1.6011e-08
&Sr-84     &1.0208e-09
&Sr-86     &1.8484e-08
&Sr-87     &1.4050e-08
&Sr-88     &1.5846e-07
&Y-89      &3.8864e-08
&Zr-90     &4.8509e-08
&Zr-91     &1.0701e-08
&Zr-92     &1.6529e-08
&Zr-94     &1.7117e-08
&Zr-96     &2.8154e-09
&Nb-93     &6.0083e-09
&Mo-92     &3.2002e-09
&Mo-94     &2.0390e-09
&Mo-95     &3.5481e-09
&Mo-96     &3.7568e-09
&Mo-97     &2.1741e-09
&Mo-98     &5.5466e-09
&Mo-100    &2.2598e-09
&Ru-96     &9.2528e-10
&Ru-98     &3.1844e-10
&Ru-99     &2.1962e-09
&Ru-100    &2.1908e-09
&Ru-101    &2.9963e-09
&Ru-102    &5.5972e-09
&Ru-104    &3.3678e-09
&Rh-103    &3.3362e-09
&Pd-102    &1.3411e-10
&Pd-104    &1.4935e-09
&Pd-105    &3.0225e-09
&Pd-106    &3.7346e-09
&Pd-108    &3.6841e-09
&Pd-110    &1.6618e-09
&Ag-107    &2.4792e-09
&Ag-109    &2.3464e-09
&Cd-106    &2.0068e-10
&Cd-108    &1.4559e-10
&Cd-110    &2.0808e-09
&Cd-111    &2.1519e-09
&Cd-112    &4.0920e-09
&Cd-113    &2.0915e-09
&Cd-114    &4.9616e-09
&Cd-116    &1.3158e-09
