&Isotopes  &Z=0.0
&Eu-151    &2.0360e-12
&Eu-153    &2.2520e-12
&Gd-152    &2.9470e-14
&Gd-154    &3.2100e-13
&Gd-155    &2.1920e-12
&Gd-156    &3.0510e-12
&Gd-157    &2.3480e-12
&Gd-158    &3.7500e-12
&Gd-160    &3.3430e-12
&Tb-159    &2.7650e-12
&Dy-156    &1.0040e-14
&Dy-158    &1.7430e-14
&Dy-160    &4.3010e-13
&Dy-161    &3.4980e-12
&Dy-162    &4.7480e-12
&Dy-163    &4.6630e-12
&Dy-164    &5.3120e-12
&Ho-165    &4.2440e-12
&Er-162    &1.6090e-14
&Er-164    &1.9130e-13
&Er-166    &4.0440e-12
&Er-167    &2.7760e-12
&Er-168    &3.2630e-12
&Er-170    &1.8400e-12
&Tm-169    &1.8540e-12
&Yb-168    &1.5830e-14
&Yb-170    &3.7460e-13
&Yb-171    &1.7700e-12
&Yb-172    &2.7220e-12
&Yb-173    &2.0230e-12
&Yb-174    &4.0150e-12
&Yb-176    &1.6280e-12
&Lu-175    &1.8280e-12
&Lu-176    &4.8760e-14
&Hf-174    &1.2310e-14
&Hf-176    &4.0360e-13
&Hf-177    &1.4380e-12
&Hf-178    &2.1210e-12
&Hf-179    &1.0650e-12
&Hf-180    &2.7580e-12
&Ta-180    &2.4290e-16
&Ta-181    &1.9860e-12
&W-180     &8.3950e-15
&W-182     &1.8770e-12
&W-183     &1.0200e-12
&W-184     &2.1950e-12
&W-186     &2.0580e-12
&Re-185    &1.0480e-12
&Re-187    &1.7730e-12
&Os-184    &7.1080e-15
&Os-186    &5.7780e-13
&Os-187    &5.9980e-13
&Os-188    &4.8740e-12
&Os-189    &5.9740e-12
&Os-190    &9.7660e-12
&Os-192    &1.5330e-11
&Ir-191    &1.3570e-11
&Ir-193    &2.3080e-11
&Pt-190    &1.0080e-14
&Pt-192    &5.8500e-13
&Pt-194    &2.4900e-11
&Pt-195    &2.5680e-11
&Pt-196    &1.9260e-11
&Pt-198    &5.5220e-12
&Au-197    &1.0830e-11
&Hg-196    &3.0090e-14
&Hg-198    &1.9750e-12
&Hg-199    &3.3600e-12
&Hg-200    &4.6220e-12
&Hg-201    &2.6510e-12
&Hg-202    &6.0360e-12
&Hg-204    &1.4010e-12
&Tl-203    &3.2210e-12
&Tl-205    &7.7640e-12
&Pb-204    &2.9310e-12
&Pb-206    &2.7980e-11
&Pb-207    &3.0900e-11
&Pb-208    &8.8500e-11
&Bi-209    &8.7180e-12
&Th-232    &3.5140e-12
&U-235     &4.4530e-15
&U-238     &6.2190e-13
