param,mean,median,hpd_lo,hpd_hi,hpd_width,gauss_sigma
sigma_2,2.962788622820448,2.739366357276724,2.02541969500272,4.989429600251255,2.964009905248535,1.5172979746978106
t_2,6.5775808688436115,5.943160476483485,5.779554605035467,9.91426964226038,4.134715037224914,2.807719774114376
infall_2,4.446063642508168,4.00460976343308,0.1282862831258796,6.107262290372897,5.9789760072470175,3.0249149543637546
t_1,0.06433529667632236,0.063904837142969,0.0578151760468194,0.0923758230344841,0.03456064698766471,0.020900994979613702
infall_1,0.03876541505562841,0.0332968178386459,0.0020019867628078,0.0407764044587922,0.0387744176959844,0.024804032172584253
sfe,7.467147355424381,7.101929157937963,2.6043631209173475,8.577019839546638,5.972656718629291,3.7704852926123227
mgal,14399950275.54294,13784384603.24389,10235331626.66043,17000272990.212208,6764941363.551777,3242851380.4570723
delta_sfe,0.4051123628265485,0.4188576108410321,0.2000170550258251,0.5925121245853081,0.392495069559483,0.1945749855029666
