sigma_2,t_1,t_2,infall_1,infall_2,sfe,delta_sfe,imf_upper,mgal,nb
3.724658169295612,0.0753098192289595,9.638004818760226,0.0034621424370946,8.454664202486036,11.1964215776376,0.5557855814435386,127.1789222600978,17320329880.124916,0.0
0.9288277048013874,0.0494765797507781,0.9970849798607444,0.0197192781250716,8.138467526835942,4.677513266171211,0.2427539895261007,98.61352816406892,11810465820.848845,0.0005866105148951
2.184532372403374,0.0495571602504764,5.384417699281125,0.0069363100940854,4.589044368251712,4.228327973712515,0.6211886660719235,92.75959120086048,13135167079.445686,0.0
4.452956439866074,0.0647901360722267,6.903078868450495,0.0210841457127687,2.1606814326653496,9.660469184847546,0.0389084537614664,77.93659751140505,16415897390.741625,0.0013945484101797
4.599620593345205,0.0247850017363014,3.4605791297301027,0.013069711573593,2.2781340992079318,13.048925064782448,0.0318055895770277,80.28067168033427,15173197738.548008,0.0
1.146450613854069,0.0972276146051808,3.950475015638456,0.0072144062927675,1.3567715968772105,15.231419811311673,0.7281121441521999,93.09683819599266,18574085984.34885,0.0
4.838160772981127,0.0902573832636881,7.516889369595008,0.0056279577996684,6.183373540466486,8.743967092755831,0.6492488756295132,121.0023443254511,12455057657.196068,0.0
4.578155524697045,0.0882136589527193,8.769392172067334,0.0276195035684428,3.132011071907004,5.706340523918184,0.2592731789381374,105.59253092934136,12201124508.670313,0.0011887806045483
2.356496853138943,0.0873896237022083,3.598853038214035,0.0075768200118951,9.87943300383529,5.830722803412524,0.7139119938679271,89.0440938617257,11853778692.566536,0.0
2.361359150730446,0.0874231108434729,5.780125927909239,0.0081150350847542,9.04544615224818,5.070583583435113,0.0451243578434013,111.78436846240162,9624710190.391829,0.0
0.1373095569451286,0.0289637700519734,5.632240374948641,0.0149115573100144,9.774949538898625,2.8829703138642806,0.7379078033374578,78.05465551361641,11774045172.26195,0.0
4.30276047805055,0.0333844937569737,8.225302455807357,0.0146509519846768,4.114169224482532,7.018555317937377,0.2109892837983899,71.56684693687089,18673694035.46046,0.0
3.637367272029377,0.0663404332276275,5.457182868609934,0.0163103294724129,5.852580422228645,1.5898641340557091,0.2335735449700893,74.57057123408781,10281284952.747835,0.0
3.1619484891148115,0.0657889512592852,3.761516861510216,0.014335831615537,7.950108541348706,3.1693149309352204,0.4418391768811306,125.82305166951828,9904116638.644806,0.0
3.702769772159187,0.0738635320394278,7.727748631935549,0.0042705788417007,6.305283483110471,5.9511400136695,0.4248649640837068,113.36411907763434,13967167431.121643,0.0
4.332357202809802,0.0971577047088473,8.726827134856547,0.0038327460074339,8.21691133371896,6.360433695356726,0.6856751075990896,89.62836396332298,11310054494.143543,0.0
4.531889413876885,0.0992430613785252,3.7680242445310665,0.0120514788261949,2.478016358701252,3.92478287620882,0.6036204021509985,115.55152340763333,15448216096.552372,0.0
1.7398189764464238,0.0683072670582329,5.625172271436796,0.01146177355421,4.224177218680198,4.660368106620361,0.395745591681523,80.36756227522677,10412922663.980122,0.0
2.3807232359835377,0.0869352601976378,5.843385453314106,0.0080419725693752,9.12604532107827,5.1625506403327766,0.0405473141059729,111.5208905266064,9722155810.102743,0.0
0.8384419450211475,0.0511597623716799,6.67070879866179,0.0025240324158608,9.23673802323638,4.945485655161738,0.2205126126728487,104.87907324503678,14273063788.844711,0.0
3.5883221019842564,0.0897298497922599,6.674510462496811,0.0015162334415691,9.241993938908625,11.894725215859104,0.8356284531849374,120.06491586395995,19100915118.886757,0.0
1.680283256064908,0.0651968718723975,4.551456883798677,0.0102647702575794,7.937274537432637,3.718012202439496,0.3899162277882108,104.5788513466218,11697146734.619844,0.0
2.802560715384601,0.0929280064963738,3.00989601986915,0.0080282467262647,9.60840081101815,11.333187669683925,0.667014728922692,123.88760999073378,17237817046.71802,0.0
1.5175257675063347,0.0595326344274025,9.685064502148691,0.0159973859348337,8.436157841177435,4.6702007480704735,0.8334667214162494,125.97358737491004,13071222099.74026,0.0
2.859892670831133,0.0831162499857922,9.008535209187484,0.006834051898316,9.492638803779558,7.853740311470831,0.526971283001333,119.83741357169532,13556781072.125233,0.0
3.774495278950624,0.0791326657106108,4.246489936548929,0.0053270975077536,9.735526600989363,5.833176969646086,0.798091159156897,85.74447619091893,10516019144.625685,0.0
3.434269220479925,0.0757589074109189,8.735069168263765,0.0200226369517172,9.31203085197388,5.387762128849884,0.5746700191115371,121.66489888871315,10080238451.960188,0.0011549976183759
2.183601112115624,0.0497429065458162,5.400033700903577,0.0068301093003533,4.595921117571844,4.235860609347741,0.6159173304826513,92.91577216062971,13124129247.89629,0.0
4.667656516690799,0.0374510101596314,7.523567077129224,0.004426641472484,6.45997842231045,6.730496890142664,0.1833596189879052,92.80562791278273,9280650375.524826,0.0
4.731069526332258,0.0807069300336303,6.262762073836289,0.0134792429933448,9.289351547584198,6.378660783885814,0.5547288142741067,101.4718031335087,17406601825.78016,0.0
4.501239233099375,0.0605346977600922,2.300014612018865,0.0200947841299045,0.8933896774157565,11.00027151114134,0.5167928507850416,88.67600821699065,11306769480.40142,0.00118619484823
2.223224774575841,0.0494456923247592,8.660609158475026,0.0676256939780476,2.1590894472276285,5.179798625515164,0.222159823614177,83.36297691833246,19864758403.645325,0.0008833919374087
2.1141907789754963,0.0491068927648872,5.501225435452627,0.0031615365467486,9.698558316930468,7.1667475862860766,0.7083904502390829,88.7396616864384,11025851869.843391,0.0
2.9004237902773133,0.0342396263386273,8.135877450883026,0.0182410480210706,6.500204151466336,3.2763109989833312,0.7773509011347328,111.31316955280224,10188011745.865368,0.0
2.4623846644190888,0.0955642252207372,4.694408153031957,0.0038095336691677,9.290072935042604,5.306610001351994,0.643667578189899,117.13093570937605,16183501727.498665,0.0
4.204032058416241,0.0329674721101896,5.79124519020815,0.0050850941090148,6.658741184669721,11.730149261198966,0.4884202039649287,110.9956931479429,13720318404.517124,0.0
3.2837485614398174,0.068427627510378,4.184387301544452,0.0013110727474793,7.645057705730107,10.90647832890126,0.2740545584356409,99.68229749836615,14174132381.772572,0.0
4.3130122222793545,0.038257214731927,6.439423540071449,0.0136666185904058,8.866700427440867,8.983670450497506,0.5153621351535574,94.56449821152484,14059298296.017223,0.0
4.332357202809802,0.0971577047088473,8.726827134856547,0.0038327460074339,8.21691133371896,6.360433695356726,0.6856751075990896,89.62836396332298,11310054494.143543,0.0
2.586790965832268,0.04386157589086,9.66403255629086,0.0156789295958444,7.107794283276667,2.500983495979637,0.4566526848974352,124.17351270448998,10256920445.119305,0.0
1.6829806078976033,0.0620499661887589,9.301553870564334,0.0033354442749774,9.525798315067853,3.519318496223532,0.8059910282696304,125.92609461215658,17700358776.217083,0.0
2.140745886272306,0.094286482654081,2.8679100850097523,0.0102470358284266,7.775862804760432,1.3447614391866871,0.692020757804038,114.18467313450311,10603588222.888985,0.0
4.253574387335701,0.0741356497713928,9.66295048165846,0.0108165745039361,5.876165805765499,9.949383395217298,0.2605694356539445,114.14210855587284,18979070799.69966,0.0
1.057199556060821,0.0779377065269883,9.478568463568813,0.0109641164619871,7.168806116055332,10.6062580965107,0.5670813603428511,110.91473422898603,14818499080.954489,0.0
3.3581364318414053,0.0265821305343941,5.453619097249254,0.0130447972906976,3.5458962486410206,7.620634157527014,0.2703172034753544,62.55876299857546,16094150185.01142,0.0
3.22401489920817,0.0977621200755462,2.5021645048208376,0.0230894836456037,2.238505094123314,5.178058574081159,0.288019531015619,122.12316545970802,13203404465.49789,0.0014297276587368
