comp_idx,imf_idx,sn1a_idx,sy_idx,sn1ar_idx,sigma_2,t_1,t_2,infall_1,infall_2,sfe,delta_sfe,imf_upper,mgal,nb,ks,ensemble,wrmse,mae,mape,huber,cosine,log_cosh,fitness,age_meta_fitness,physics_penalty,loss
2,0,1,3,2,0.22117788026823718,0.010995470122749543,0.4577935313470344,0.009986339169678095,1.272557758044479,3.7635908346229487,0.7061100356542744,62.608300491468064,16150728815.597189,0.0,0.11405870155103137,0.11577875904151108,0.12704652866912028,0.08219055769451884,512783.9459742526,0.008070410223436802,0.033655081680708854,0.007983807785163466,0.11577875904151108,0.3679188271336461,1.0,0.11577875904151108
2,0,1,3,2,0.16415388983867757,0.012016232777620508,0.5123951599230506,0.009636491446403533,1.0257922939498365,3.776192359636365,0.5447960575060978,65.52991952534626,16153758946.074993,0.0,0.10478574307194555,0.12407019967759665,0.13710896188602256,0.08925376129656104,534223.1496961315,0.009399433714731393,0.036366464702872525,0.00928212716145641,0.12407019967759665,0.36670523125881327,1.0,0.12407019967759665
3,1,0,2,0,4.437948509089501,0.08613534196054504,4.820288572493226,0.021810271100329306,1.582389463222106,2.6338995068399056,0.6134424696860448,106.09015506138877,13586649933.858133,0.0009299019543308628,0.14044791551634794,0.12408996635528649,0.13429345412803412,0.11401820558241274,2918939.141132359,0.009017365910819202,0.04934532550198267,0.008961731853997118,0.05131498383207367,0.3956665977052009,0.41353048388418345,0.12408996635528649
3,1,0,2,0,4.419040983293411,0.0852465389083388,4.711004774144045,0.02153065584486205,1.8567818988862066,2.4346941717308392,0.6118869834183497,106.1428627486168,13685222718.903511,0.0009548306877053909,0.13728031318201372,0.12536989585574052,0.13591187781919098,0.11554484857886459,2802384.067832599,0.00923601926616935,0.05037966174038078,0.009178418261926544,0.12536989585574052,0.3937577989977356,1.0,0.12536989585574052
3,1,0,2,0,4.424024264759727,0.08528193665127443,4.695133567918382,0.021404600031452198,1.869551526225096,2.367585680411246,0.6087331785721207,106.22411295501772,13694134874.652882,0.0009547270906881596,0.1391747256547522,0.12570582161380459,0.13617674081288045,0.1157773070335779,2848090.482381769,0.009272052369209211,0.05066506043316277,0.009214811644295731,0.07198298984744181,0.39324385755688307,0.5726305188043644,0.12570582161380459
3,1,0,2,0,4.469925514042477,0.08645207188949659,4.882032143252317,0.021558718464183176,1.9081641741814523,2.3429944057449568,0.6246339896547747,104.9440183102218,13567587115.507801,0.0009645980975825605,0.13752485376822438,0.12634126139549104,0.1369846595941674,0.11572157700794895,2799683.867283208,0.00938239848206496,0.05117876255868625,0.009322481106408414,0.06298476313173434,0.40297658838940076,0.49852884509812395,0.12634126139549104
5,1,0,1,2,2.2930815046393223,0.03087202949478309,6.589102438647711,0.036064006561159045,1.721640848515305,2.0786259995470244,0.16677211502590072,93.58027815302874,17644055463.24569,0.001443823599057209,0.15876153442809732,0.13426107962945585,0.13995454234402285,0.12263659703264791,4410301.43608571,0.009793636961362442,0.04651895896463498,0.00974242633850236,1.0,0.5464602350459874,7.576468564283816,0.13426107962945585
2,0,1,3,2,0.42699183651594386,0.017376358900462553,6.015543712038104,0.015118398727520976,2.2897312385803112,2.9098722656508618,0.11307094366884421,74.01775520538777,19424191873.615013,0.0,0.11197874552641714,0.13552412880200185,0.14862883467447258,0.10372737240133219,504618.19789425674,0.01104526524834585,0.060768375799240326,0.010930383130336651,1.0,0.39360620738698043,19.994801712600523,0.13552412880200185
5,1,0,2,0,2.016526391058519,0.01946091743110184,7.756668044854092,0.008232242493932541,8.472476232472298,3.038091748515896,0.1737272076956235,82.99468153629428,12340710149.086607,0.0,0.1723248733628368,0.13919226886538474,0.1366444330621865,0.11555813019316963,3700461.6372086597,0.009335850543443183,0.05101291601775104,0.009278513846084888,0.13919226886538474,0.40268661331175193,1.0,0.13919226886538474
5,1,0,1,2,3.7655234947952416,0.08742305466861111,5.314177559054271,0.001940023210863899,3.4630545995183386,5.931353598967315,0.19325799411803757,129.71830600833434,15080746821.908197,0.0,0.06735687848333258,0.14115224050224393,0.15808433057870108,0.10905247060768142,1338571.261755355,0.012495327787258023,0.05575898393636902,0.012285582048965448,0.14115224050224393,0.3568958073673443,1.0,0.14115224050224393
5,1,0,1,2,3.7655234947952416,0.08742305466861111,5.314177559054271,0.001940023210863899,3.4630545995183386,5.931353598967315,0.19325799411803757,129.71830600833434,15080746821.908197,0.0,0.06735687848333258,0.14115224050224393,0.15808433057870108,0.10905247060768142,1338571.261755355,0.012495327787258023,0.05575898393636902,0.012285582048965448,0.2352806124826628,0.3568958073673443,1.6668570873936819,0.14115224050224393
5,1,1,1,2,1.0318183030239763,0.021685167684088888,2.682749478190632,0.044769075016560717,4.648971612036811,1.7158756625807823,0.40729674742453964,97.11331027010618,9301462592.923536,0.0011358563758485758,0.12883817720122176,0.14336739674113053,0.15738713296969975,0.10577321688220244,127205.48106272957,0.012385354812210973,0.05054314232428214,0.012217162851673506,1.0,0.7655872123556764,7.058840519426928,0.14336739674113053
2,0,1,3,2,0.2681122363070607,0.010084925889559681,1.4536464367675137,0.011029117021776745,1.4975533643293142,4.80666111431954,0.6190215934382687,63.338077878686796,15935834084.498848,0.0,0.11780367797789554,0.1438415425390299,0.15763058703325142,0.10781513324078851,1402580.2680381096,0.012423700984223724,0.06688349225320434,0.012219598148543218,1.0,0.4376359878042515,8.774602026835124,0.1438415425390299
